pops,string_tree,no_admixes,topology
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000698369-0.084627232-0.038133069-0.037093701-0.003935210-0.014294134-0.066582596;0.557,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000968912-0.084627232-0.037536469-0.037093701-0.003506652-0.014294134-0.066582596;0.562,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000646810-0.082310862-0.033274860-0.037333351-0.007579507-0.016247167-0.068549566;0.563,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001237591-0.081625374-0.034376859-0.037026190-0.011166206-0.016232195-0.067894627;0.559,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007378807-0.081625374-0.008229395-0.037026190-0.021474620-0.016316409-0.070380869;0.559,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000739263-0.081625374-0.018306614-0.037026190-0.038608891-0.016316409-0.066431883;0.555,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000806300-0.081743254-0.017125878-0.039122124-0.039436636-0.015742313-0.066475277;0.539,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003094040-0.079868174-0.025938484-0.034369574-0.003041807-0.012455801-0.067970838;0.6,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005188396-0.082825739-0.021153680-0.036041460-0.000202298-0.014952076-0.067561813;0.557,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005394581-0.082825739-0.008513542-0.036041460-0.019144928-0.014952076-0.067561813;0.557,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005394581-0.082108329-0.008631190-0.036041460-0.019144928-0.015551838-0.067561813;0.549,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000824111-0.084827006-0.026012464-0.035046904-0.017622965-0.016010726-0.071076337;0.574,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000351794-0.085544463-0.001749224-0.036009265-0.060955086-0.015664994-0.072431743;0.574,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000732856-0.085253416-0.004335974-0.034837056-0.064720108-0.014274653-0.069219337;0.569,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000732856-0.085253416-0.004335974-0.034837056-0.064720108-0.014274653-0.069219337;0.55,1,w.a.w-c.0.c.2-c.0
