,add,admixtures,average_branch_length,average_root,descendant_sets,ghost_pops,iteration,likelihood,max_root,mhr,min_root,no_admixes,posterior,prior,proposal_type,rescale_adap_param,rescale_add_adap_param,rescale_admixtures_adap_param,rescale_constrained_adap_param,sliding_regraft_adap_param,total_branch_length,tree,origin,layer
1,0.300230952898881,x2b;0.487,0.03409718895876105,0.08420774771568998,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18840,21.187549063322876,0.10974712497903595,0.0,0.043648686381104015,1,7.445655984536268,-13.741893078786608,rescale_constrained,,,,0.2802398087773377,,0.3068747006288495,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.003707648-0.081570943-0.022470460-0.045729567-0.004072267-0.061889089-0.067835679-0.017470579-0.002128469;0.487,3,0
0,0.2962213334882262,x2b;0.489,0.032778750464617964,0.08161070619195337,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18880,21.097444291061038,0.10637252175487981,1.6816108577204407e-164,0.03188593674852268,1,7.447864418681963,-13.649579872379075,addadmix,,,,,,0.2950087541815617,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.006221683-0.079830161-0.009561834-0.047334054-0.009321343-0.056193850-0.067598792-0.016102419-0.002844618;0.489,3,0
0,0.29046599009660906,x2b;0.457,0.033819753192429726,0.08292266482285898,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18920,22.59771982061102,0.10637252175487982,0.0009278267038266679,0.03352586460813017,1,8.884173211035298,-13.71354660957572,sliding_regraft,,,,,0.28088803020296343,0.30437777873186755,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.003254182-0.079830161-0.013636256-0.047334054-0.017050439-0.056193850-0.067598792-0.016635427-0.002844618;0.457,3,0
0,0.3018858591451244,x2b;0.477,0.03467333536657575,0.08371156355606794,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,18960,22.013314087789695,0.10815124641657094,1.163318297709699,0.02882224870188999,1,8.231178186315224,-13.78213590147447,sliding_regraft,,,,,0.2815470845372963,0.31206001829918173,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.000386740-0.078471601-0.010299454-0.046557046-0.030787319-0.016161325-0.059619470-0.001974730-0.067802333;0.477,3,0
0,0.27948911678031035,x2b;0.455,0.03477908310538033,0.08469390744098138,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19000,21.723784379346398,0.10677834566531019,0.0,0.02964172511435419,1,7.956962671680449,-13.76682170766595,addadmix,,,,,,0.313011747948423,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.000740393-0.078663073-0.009791153-0.045595790-0.031739434-0.015634955-0.057707332-0.003475224-0.069664393;0.455,3,0
1,0.27948911678031035,x2b;0.521,0.03460371686409622,0.08372612343892478,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19040,21.27813705480912,0.10426333495487078,1.7462092174072466e-23,0.03386856173148178,1,7.523060656622791,-13.75507639818633,sliding_regraft,,,,,0.28796424279271504,0.31143345177686593,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.004104850-0.079854007-0.010902407-0.042388668-0.028753502-0.014633696-0.057647058-0.004227609-0.068921655;0.521,3,0
0,0.28268200154212664,x2b;0.545,0.034588438966223996,0.08509521090582876,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19080,23.54002832833612,0.1089670729972638,1.0510332773013276,0.03487553247137594,1,9.78278229614247,-13.75724603219365,rescale_constrained,,,,0.2753528924114185,,0.31129595069601596,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.005174641-0.082276176-0.012086365-0.044393760-0.015964529-0.013303904-0.060262690-0.004310623-0.073523263;0.545,3,0
0,0.31215533271329254,x2b;0.518,0.03384085743224414,0.0846901341764782,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19120,22.565012154986107,0.10922016814263977,0.07528697299808676,0.040943733803218224,1,8.828362727622327,-13.73664942736378,rescale,0.048412324020990834,,,,,0.30456771689019724,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.006784638-0.081972532-0.016103940-0.046235777-0.004054708-0.013722985-0.058652220-0.004332171-0.072708746;0.518,3,0
0,0.31215533271329254,x2b;0.513,0.03472820927753649,0.08558508965253028,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19160,19.180260984072447,0.110319537595522,3.394080526366045e-05,0.023623503548319474,1,5.384180380195165,-13.796080603877282,sliding_regraft,,,,,0.29564487664959627,0.3125538834978284,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.002190490-0.083074825-0.001400831-0.048244635-0.029122702-0.015096325-0.057139045-0.004935857-0.071349173;0.513,3,0
0,0.28828761353044097,x2b;0.491,0.03276100017430017,0.08429416437374107,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19200,22.07685338790725,0.11031953759552199,0.0020518511264282033,0.029883170506718848,1,8.43639607691638,-13.64045731099087,rescale,0.048005436066058275,,,,,0.29484900156870153,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.007624705-0.083828743-0.002980201-0.048244635-0.004404235-0.014342408-0.057139045-0.004935857-0.071349173;0.491,3,0
